Gen,Eth,Dis,year,count(*)
1,1,1,2001,11373
1,1,1,2002,558
1,1,1,2003,276
1,1,1,2004,399
1,1,1,2005,515
1,1,1,2006,706
1,1,1,2007,584
1,1,1,2008,655
1,1,1,2009,599
1,1,1,2010,916
1,1,1,2011,861
1,1,1,2012,905
1,1,1,2013,1199
1,1,1,2014,1418
1,1,1,2015,1562
1,1,1,2016,562
1,1,2,2012,1
1,1,2,2013,2
1,1,2,2014,3
1,1,2,2015,1
1,1,2,2016,1
1,2,1,2001,106655
1,2,1,2002,94828
1,2,1,2003,103303
1,2,1,2004,90694
1,2,1,2005,76627
1,2,1,2006,107029
1,2,1,2007,95183
1,2,1,2008,101307
1,2,1,2009,111403
1,2,1,2010,144809
1,2,1,2011,154418
1,2,1,2012,179480
1,2,1,2013,141003
1,2,1,2014,183016
1,2,1,2015,204591
1,2,1,2016,79408
1,2,2,2001,8
1,2,2,2003,4
1,2,2,2004,3
1,2,2,2006,13
1,2,2,2007,2
1,2,2,2008,13
1,2,2,2009,13
1,2,2,2010,19
1,2,2,2011,3
1,2,2,2012,19
1,2,2,2013,23
1,2,2,2014,18
1,2,2,2015,12
1,2,2,2016,4
1,2,4,2005,1
1,2,4,2008,1
1,3,2,2013,1
1,5,1,2001,2022
1,5,1,2002,1521
1,5,1,2003,1677
1,5,1,2004,2622
1,5,1,2005,1320
1,5,1,2006,2427
1,5,1,2007,1957
1,5,1,2008,1537
1,5,1,2009,2573
1,5,1,2010,3907
1,5,1,2011,4469
1,5,1,2012,4341
1,5,1,2013,4096
1,5,1,2014,4536
1,5,1,2015,4989
1,5,1,2016,1828
1,5,2,2001,55
1,5,2,2002,41
1,5,2,2003,40
1,5,2,2004,34
1,5,2,2005,44
1,5,2,2006,133
1,5,2,2007,42
1,5,2,2008,69
1,5,2,2009,103
1,5,2,2010,94
1,5,2,2011,44
1,5,2,2012,118
1,5,2,2013,75
1,5,2,2014,81
1,5,2,2015,74
1,5,2,2016,32
1,5,4,2001,83
1,5,4,2002,35
1,5,4,2003,20
1,5,4,2004,47
1,5,4,2005,14
1,5,4,2006,20
1,5,4,2007,56
1,5,4,2008,54
1,5,4,2009,13
1,5,4,2010,13
1,5,4,2011,31
